Inmobiliaria,Proyecto,Longitud,Latitud,cant und totales,cnat de pisos,prom_p dorm,prom_p area,prom_p ticket,prom_p pxm2,activo
Abril Grupo Inmobiliario,Pino,-77.0168333,-12.0890073,663,34,1.8,52,"311,462","6,063",1
Abril Grupo Inmobiliario,Sauco,-77.01939532,-12.08991232,628,33,2.0,58,"378,385","6,480",1
Arteco,Midtown,-77.0112804,-12.0877713,94,14,2.3,62,"420,749","6,952",1
Balance Grupo Inmobiliario,HERCELLES,-77.022909,-12.0868225,71,8,2.1,61,"427,072","7,178",1
Casaideal Inmobiliaria,VÖN,-77.0182355,-12.0889155,297,177,2.1,51,"343,696","6,731",1
Gdc Inmobiliaria,Park Prado,-77.02012973,-12.0901064,384,33,2.3,61,"466,242","7,705",1
Ghs Constructora,Catalina View,-77.0213941,-12.0840946,63,17,2.4,62,"407,722","6,540",1
Grupo Lar,Elant | Fase 2,-77.0258176,-12.0821778,165,28,2.3,59,"419,186","7,204",1
Grupo Lar,Elant | Fase 3,-77.025835,-12.0820832,187,28,1.9,53,"377,000","7,144",1
Grupo Lar,Elant Fase 1,-77.02567497,-12.08194721,121,28,2.4,62,"376,254","6,164",0
Grupo Lar,Hara (Etapa 3),-77.01146118,-12.08137626,109,22,2.5,63,"381,198","6,148",0
Grupo Lar,Hara (Etapa 4),-77.0114309,-12.0813414,76,20,2.5,68,"428,889","6,541",0
Grupo Lar,Hara (Torre 1),-77.01154366,-12.08141478,92,17,2.5,64,"346,965","5,613",0
Grupo Lar,Hara (Torre 2),-77.01144374,-12.08137889,78,21,2.5,67,"379,473","5,816",0
Grupo Lar,Hara | Etapa 5,-77.0120193,-12.0811666,286,25,2.0,53.8,"407,725.6","7,803.5",1
Grupo Lar,Zendai | Fase 1,-77.0120994,-12.0819166,182,27,2.0,54,"395,926","7,414",1
Grupo Sol,GREEN VIEW,-77.01527059,-12.08342888,21,8,3.0,91,"646,374","7,276",1
Grupo T&C,Catalina Sky,-77.0182261,-12.0894538,395,37,1.5,48,"347,068","7,359",1
Hl Desarrollos Inmobiliarios,Family Apartments,-77.0248373,-12.0841883,220,22,2.1,54,"367,062","6,789",1
Hpc Inmobiliaria,ON Apartments,-77.0277275,-12.0783461,211,28,2.3,57,"328,222","5,807",0
Hpc Inmobiliaria,ON APARTMENTS - Etapa 2,-77.0278469,-12.0780974,135,28,2.0,51,"318,275","6,313",0
Invent,FORTIVA,-77.0177313,-12.0887655,182,17,1.7,51,"370,997","7,325",1
La Venturosa,Edificio Villaran,-77.0191617,-12.0887575,170,21,2.0,75,"408,294","5,620",0
My Home,Millenium,-77.0128539,-12.084114,68,20,2.2,65,"349,354","5,444",0
My Home,Você,-77.01311737,-12.08907104,38,13,2.8,73,"418,559","5,822",0
Noi Inmobiliaria,560 Place,-77.0209898,-12.0870214,150,22,2.3,59,"419,724","7,168",1
Paz,Escala,-77.01416105,-12.08863057,276,31,1.6,60,"397,332","6,617",1
Paz,Residencial Real,-77.0302431,-12.0729018,152,20,1.9,60,"323,224","5,452",1
Paz,Residencial Real Etapa 2,-77.0300678,-12.0726186,168,22,1.9,60,"343,282","5,769",1
Pisonay Inmobiliaria,STRONG,-77.021956,-12.0840743,76,9,2.1,60,"418,457","7,306",1
Promsal,Hey Catalina 383,-77.02092803,-12.08505209,108,22,2.3,68,"364,611","5,428",1
Promsal,Hola Catalina,-77.0169348,-12.0835757,42,11,2.8,77,"504,876","6,664",1
Proyec Inmobiliaria,CAPRI Santa Catalina,-77.01408398,-12.08817293,120,16,2.1,52,"348,653","6,839",1
Quatro Inmobiliaria,Cor Tower,-77.0156215,-12.0853264,127,22,2.6,62,"425,187","6,873",1
Rumi Grupo Inmobiliario,PIETRA DI PRADO,-77.0184725,-12.08949898,203,30,1.9,62,"384,960","6,203",1
Senda,AUDACITY,-77.01097353,-12.08864947,342,36,1.7,53,"388,354","7,558",1
Senda,MET,-77.02529004,-12.08434524,381,37,1.9,55,"342,348","6,239",0
Stella Inmobiliaria,ALDANA BELLA,-77.010325,-12.0863505,34,10,2.0,57,"423,219","7,660",1
Urbana Perú,Hope,-77.0148462,-12.0827586,95,20,2.2,64,"407,592","6,607",1
Urbana Perú,Tempo,-77.02574145,-12.08334082,216,38,2.0,61,"380,756","6,345",0
Urbana Perú,TEMPO 2,-77.0257982,-12.0834991,180,37,1.8,63,"452,786","7,290",1
V&V Grupo Inmobiliario,C. VILLARÁN 302,-77.0214965,-12.0890946,524,17,2.0,58,"428,294","7,410",1
V&V Grupo Inmobiliario,Limited,-77.0107924,-12.0848999,58,20,2.1,56,"319,959","5,875",0
